Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/11  24:00:00,14119837.210923236,14119837.210923234,9763035.51147725 
 01/12  01:00:00,16931727.483571389,16931727.483571385,12037196.962183183 
 01/12  02:00:00,15825894.422728453,15825894.422728453,10592261.831751762 
 01/12  03:00:00,16587600.67900562,16587600.679005618,11526863.293962539 
 01/12  04:00:00,15999173.102397349,15999173.102397349,14083748.570246555 
 01/12  05:00:00,16750234.85887912,16750234.85887912,17118904.601194696 
 01/12  06:00:00,16593637.441133414,16593637.441133408,13367131.039573804 
 01/12  07:00:00,21142764.71390551,21142764.713905507,116968032.05719881 
 01/12  08:00:00,23539658.69652781,23539658.69652781,139483162.49528323 
 01/12  09:00:00,35580521.89753943,35580521.89753943,138856178.73485584 
 01/12  10:00:00,35580521.89753943,35580521.89753943,134210353.89608479 
 01/12  11:00:00,35033321.89753943,35033321.89753943,130290495.60006197 
 01/12  12:00:00,32004414.400960804,32004414.400960797,123524378.73195745 
 01/12  13:00:00,30062735.70852236,30062735.708522358,125919869.72896126 
 01/12  14:00:00,32146070.410971855,32146070.41097185,117449695.65266288 
 01/12  15:00:00,32297321.897539434,32297321.897539434,115259470.69295109 
 01/12  16:00:00,35580521.89753943,35580521.89753943,112746183.95922959 
 01/12  17:00:00,35580521.89753943,35580521.89753943,110777777.52983786 
 01/12  18:00:00,25936552.67908783,25936552.679087834,126821012.10695613 
 01/12  19:00:00,19948327.444222344,19948327.444222336,131443996.97714073 
 01/12  20:00:00,13931418.059538957,13931418.059538952,0.0 
 01/12  21:00:00,12669894.910823152,12669894.910823152,0.0 
 01/12  22:00:00,13894556.53996631,13894556.539966308,1689633.8480979675 
 01/12  23:00:00,14086507.30440997,14086507.30440997,6593225.522249038 
 01/12  24:00:00,14635058.449933153,14635058.449933153,10193616.153348405 
 01/13  01:00:00,15686109.961408237,15686109.961408236,8530777.086949412 
 01/13  02:00:00,16587600.67900562,16587600.679005618,10685938.80162913 
 01/13  03:00:00,16254895.964194492,16254895.964194492,8586310.188293118 
 01/13  04:00:00,16857000.909929564,16857000.90992956,11786605.90804795 
 01/13  05:00:00,15744129.266872289,15744129.266872289,11748327.558925948 
 01/13  06:00:00,17612481.665427366,17612481.66542736,13696668.760671536 
 01/13  07:00:00,21142764.71390551,21142764.713905507,116262306.9771717 
 01/13  08:00:00,23539658.69652781,23539658.696527807,139483162.49528326 
 01/13  09:00:00,35580521.89753943,35580521.89753943,133279757.25580216 
 01/13  10:00:00,35580521.89753943,35580521.89753943,124204723.47076072 
 01/13  11:00:00,34481894.02370165,34481894.023701649,118959255.08684917 
 01/13  12:00:00,32171199.661100396,32171199.661100396,110452174.00009437 
 01/13  13:00:00,30220456.284062178,30220456.28406217,116544991.46827606 
 01/13  14:00:00,32297321.897539434,32297321.897539434,104428638.77283228 
 01/13  15:00:00,32297321.897539434,32297321.897539434,98383615.18651538 
 01/13  16:00:00,35033321.89753943,35033321.89753943,92034065.99161308 
 01/13  17:00:00,35580521.89753943,35580521.89753943,87221843.93709517 
 01/13  18:00:00,25936552.67908783,25936552.679087834,106073837.75206679 
 01/13  19:00:00,19948327.444222344,19948327.44422234,104299279.69644577 
 01/13  20:00:00,13931418.059538957,13931418.059538952,0.0 
 01/13  21:00:00,12669894.910823152,12669894.910823152,0.0 
 01/13  22:00:00,12669894.910823152,12669894.910823152,0.0 
 01/13  23:00:00,11534524.076916654,11534524.076916654,0.0 
 01/13  24:00:00,11205881.415921549,11205881.415921549,0.0 
 01/14  01:00:00,10628703.588150235,10628703.588150233,632727.15123076 
 01/14  02:00:00,10603366.35868724,10603366.35868724,562360.0121644298 
 01/14  03:00:00,12914919.120600116,12914919.120600114,5611127.9617617889 
 01/14  04:00:00,12955175.15578048,12955175.155780478,7768751.487771823 
 01/14  05:00:00,13188003.026488452,13188003.02648845,9577287.023160093 
 01/14  06:00:00,12955175.15578048,12955175.155780478,8886109.349284953 
