Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 07/16  03:00:00,9193157.415921549,9193157.415921549,0.0 
 07/16  04:00:00,9193157.415921549,9193157.415921549,0.0 
 07/16  05:00:00,8107919.415921549,8107919.415921549,0.0 
 07/16  06:00:00,7017551.246118536,7017551.246118535,0.0 
 07/16  07:00:00,6919163.536709796,6919163.536709796,0.0 
 07/16  08:00:00,6800549.569472857,6800549.569472856,0.0 
 07/16  09:00:00,6716709.605023221,6716709.605023221,0.0 
 07/16  10:00:00,6580031.497475515,6580031.497475515,0.0 
 07/16  11:00:00,6572502.550276117,6572502.550276117,0.0 
 07/16  12:00:00,6536924.272173363,6536924.272173361,0.0 
 07/16  13:00:00,6587708.27974684,6587708.27974684,0.0 
 07/16  14:00:00,6542214.741611353,6542214.741611353,0.0 
 07/16  15:00:00,6697518.597036182,6697518.597036182,0.0 
 07/16  16:00:00,6771794.246703115,6771794.246703115,0.0 
 07/16  17:00:00,6872354.840609574,6872354.840609574,0.0 
 07/16  18:00:00,6935992.416658751,6935992.416658747,0.0 
 07/16  19:00:00,7022681.415921549,7022681.415921549,0.0 
 07/16  20:00:00,7296281.415921549,7296281.415921549,0.0 
 07/16  21:00:00,10305881.415921547,10305881.415921547,0.0 
 07/16  22:00:00,10305881.415921547,10305881.415921547,0.0 
 07/16  23:00:00,10305881.415921547,10305881.415921547,0.0 
 07/16  24:00:00,9193157.415921549,9193157.415921549,0.0 
 07/17  01:00:00,12258423.644994013,12258423.644994013,0.0 
 07/17  02:00:00,12258423.644994013,12258423.644994013,0.0 
 07/17  03:00:00,12258423.644994013,12258423.644994013,0.0 
 07/17  04:00:00,12258423.644994013,12258423.644994013,0.0 
 07/17  05:00:00,11985288.588477325,11985288.588477321,0.0 
 07/17  06:00:00,22159524.943839265,22159524.943839265,0.0 
 07/17  07:00:00,21382823.531990995,21382823.531990995,0.0 
 07/17  08:00:00,35608301.313608538,35608301.313608538,0.0 
 07/17  09:00:00,35467159.585822198,35467159.585822198,0.0 
 07/17  10:00:00,36006421.48175616,36006421.48175616,0.0 
 07/17  11:00:00,36653424.768218588,36653424.768218588,0.0 
 07/17  12:00:00,33899413.08294103,33899413.08294103,0.0 
 07/17  13:00:00,37111020.11287418,37111020.11287417,0.0 
 07/17  14:00:00,37351649.00043134,37351649.00043134,0.0 
 07/17  15:00:00,37624989.65174399,37624989.65174399,0.0 
 07/17  16:00:00,37767780.62226368,37767780.62226368,0.0 
 07/17  17:00:00,25794931.87905027,25794931.87905027,0.0 
 07/17  18:00:00,15146880.857088056,15146880.857088056,0.0 
 07/17  19:00:00,9748218.059538953,9748218.059538952,0.0 
 07/17  20:00:00,8760294.910823154,8760294.910823152,0.0 
 07/17  21:00:00,11769894.910823154,11769894.910823152,0.0 
 07/17  22:00:00,10634524.076916654,10634524.076916654,0.0 
 07/17  23:00:00,10305881.415921547,10305881.415921547,0.0 
 07/17  24:00:00,12258423.644994013,12258423.644994013,0.0 
 07/18  01:00:00,12258423.644994013,12258423.644994013,0.0 
 07/18  02:00:00,12258423.644994013,12258423.644994013,0.0 
 07/18  03:00:00,12258423.644994013,12258423.644994013,0.0 
 07/18  04:00:00,12258423.644994013,12258423.644994013,0.0 
 07/18  05:00:00,12156946.194652442,12156946.194652439,0.0 
 07/18  06:00:00,20621969.026113944,20621969.02611394,0.0 
 07/18  07:00:00,20259958.940958494,20259958.94095849,0.0 
 07/18  08:00:00,34366905.064245987,34366905.064245987,0.0 
 07/18  09:00:00,35342720.49425169,35342720.4942517,0.0 
 07/18  10:00:00,35779288.998519729,35779288.998519729,0.0 
 07/18  11:00:00,36243509.28824362,36243509.28824363,0.0 
 07/18  12:00:00,33876258.542336378,33876258.54233638,0.0 
 07/18  13:00:00,36970169.79893849,36970169.79893849,0.0 
 07/18  14:00:00,37380503.44317293,37380503.44317293,0.0 
 07/18  15:00:00,37807798.14460171,37807798.14460171,0.0 
 07/18  16:00:00,38035236.27655975,38035236.27655975,0.0 
 07/18  17:00:00,26689256.789967028,26689256.789967028,0.0 
 07/18  18:00:00,14615976.791656139,14615976.791656139,0.0 
 07/18  19:00:00,9135783.201324532,9135783.201324532,0.0 
 07/18  20:00:00,8735192.840628853,8735192.840628852,0.0 
 07/18  21:00:00,11769894.910823154,11769894.910823152,0.0 
 07/18  22:00:00,10634524.076916654,10634524.076916654,0.0 
 07/18  23:00:00,10305881.415921547,10305881.415921547,0.0 
 07/18  24:00:00,12258423.644994013,12258423.644994013,0.0 
 07/19  01:00:00,12258423.644994013,12258423.644994013,0.0 
 07/19  02:00:00,12258423.644994013,12258423.644994013,0.0 
 07/19  03:00:00,12258423.644994013,12258423.644994013,0.0 
 07/19  04:00:00,12258423.644994013,12258423.644994013,0.0 
 07/19  05:00:00,12140272.265094782,12140272.265094778,0.0 
 07/19  06:00:00,21546557.159689767,21546557.15968976,0.0 
 07/19  07:00:00,21219208.0313602,21219208.031360199,0.0 
 07/19  08:00:00,35974709.256244208,35974709.256244208,0.0 
 07/19  09:00:00,36765776.27002129,36765776.27002129,0.0 
 07/19  10:00:00,37033331.37237447,37033331.37237447,0.0 
 07/19  11:00:00,37520271.171968217,37520271.171968217,0.0 
 07/19  12:00:00,35415987.93949546,35415987.93949546,0.0 
 07/19  13:00:00,38788469.16250475,38788469.16250475,0.0 
 07/19  14:00:00,38861274.31039046,38861274.31039046,0.0 
 07/19  15:00:00,39403247.314066749,39403247.314066749,0.0 
 07/19  16:00:00,39994874.87842828,39994874.87842828,0.0 
 07/19  17:00:00,28619544.523672608,28619544.52367261,0.0 
 07/19  18:00:00,14831803.266473419,14831803.26647342,0.0 
 07/19  19:00:00,9282960.995585386,9282960.995585386,0.0 
 07/19  20:00:00,8990858.930578806,8990858.930578806,0.0 
 07/19  21:00:00,11769894.910823154,11769894.910823152,0.0 
